age,female,level,field1,field2,weight
0,0,0,,,1920392
0,1,0,,,1835923
1,0,0,,,1995090
1,1,0,,,1904819
2,0,0,,,2053005
2,1,0,,,1954450
3,0,0,,,2063140
3,1,0,,,1952794
4,0,0,,,2083597
4,1,0,,,1962901
5,0,0,,,2030513
5,1,0,,,1907623
6,0,0,,,2061114
6,1,0,,,1931835
7,0,0,,,2086012
7,1,0,,,1993745
8,0,0,,,2166438
8,1,0,,,2069558
9,0,0,,,2184354
9,1,0,,,2080123
10,0,0,,,2105533
10,1,0,,,2056899
11,0,0,,,2109765
11,1,0,,,2052280
12,0,0,,,2120613
12,1,0,,,2021442
13,0,0,,,2105525
13,1,0,,,2000868
14,0,0,,,2123304
14,1,0,,,2005358
15,0,0,,,2135596
15,1,0,,,2055433
16,0,0,,,2202094
16,1,0,,,2070208
17,0,0,,,2127051
17,1,0,,,2021986
18,0,0,,,2318108
18,1,0,,,2235117
19,0,0,,,2153021
19,0,1,1901,,151
19,0,1,2102,,444
19,0,1,2304,,183
19,0,1,2308,,109
19,0,1,2400,,1048
19,0,1,2405,,355
19,0,1,2406,,354
19,0,1,2407,,181
19,0,1,2414,,261
19,0,1,2602,6402,75
19,0,1,3600,5003,56
19,0,1,3600,,74
19,0,1,5098,6203,135
19,0,1,5501,6201,214
19,0,1,5501,,402
19,0,1,5701,,104
19,0,1,6107,,211
19,0,1,6200,,76
19,0,1,6203,,171
19,0,1,6206,6207,51
19,0,1,6207,,1310
19,0,1,6210,,84
19,0,1,6211,,64
19,0,1,6299,,167
19,0,1,6402,,211
19,1,0,,,2040217
19,1,1,1501,5506,66
19,1,1,1501,,145
19,1,1,1901,2602,48
19,1,1,1901,,200
19,1,1,1902,,106
19,1,1,1903,2107,78
19,1,1,1903,,64
19,1,1,2300,,54
19,1,1,2304,,125
19,1,1,2307,,91
19,1,1,2405,,103
19,1,1,2407,,47
19,1,1,2414,,108
19,1,1,2602,5200,184
19,1,1,2603,6106,82
19,1,1,3301,,53
19,1,1,3600,,128
19,1,1,4000,,52
19,1,1,4101,5200,116
19,1,1,4101,6206,81
19,1,1,5200,5501,8
19,1,1,5200,6007,37
19,1,1,5200,,365
19,1,1,5301,,126
19,1,1,5404,,99
19,1,1,5501,,48
19,1,1,5502,,165
19,1,1,5506,,162
19,1,1,5507,,32
19,1,1,6001,,21
19,1,1,6004,,143
19,1,1,6006,,68
19,1,1,6102,,49
19,1,1,6107,,825
19,1,1,6110,,110
19,1,1,6200,,125
19,1,1,6201,,197
19,1,1,6203,,397
19,1,1,6206,,399
19,1,1,6207,,220
19,1,1,6402,,54
20,0,0,,,2357593
20,0,1,1100,,257
20,0,1,1104,6200,82
20,0,1,1401,,233
20,0,1,1901,3401,169
20,0,1,1903,,219
20,0,1,1904,,203
20,0,1,2102,,175
20,0,1,2201,,206
20,0,1,2306,,81
20,0,1,2400,,1207
20,0,1,2402,,112
20,0,1,2405,,140
20,0,1,2406,,178
20,0,1,2407,3700,40
20,0,1,2408,,716
20,0,1,2414,,582
20,0,1,2499,,186
20,0,1,2503,,146
20,0,1,2504,,131
20,0,1,2599,,40
20,0,1,2901,,6
20,0,1,3202,,69
20,0,1,3301,4801,139
20,0,1,3301,,178
20,0,1,3600,,566
20,0,1,3700,,41
20,0,1,4002,6199,242
20,0,1,4101,,76
20,0,1,4801,,34
20,0,1,4901,6002,234
20,0,1,5003,,70
20,0,1,5007,,274
20,0,1,5200,,185
20,0,1,5301,5401,54
20,0,1,5301,,789
20,0,1,5403,,111
20,0,1,5501,,236
20,0,1,5502,,147
20,0,1,5503,,35
20,0,1,5505,,256
20,0,1,5506,,316
20,0,1,5507,,78
20,0,1,6002,,49
20,0,1,6004,,136
20,0,1,6006,6402,124
20,0,1,6107,,279
20,0,1,6108,,127
20,0,1,6109,,733
20,0,1,6200,,1080
20,0,1,6201,,948
20,0,1,6203,6207,377
20,0,1,6203,,652
20,0,1,6207,,525
20,0,1,6210,,59
20,0,1,6211,,24
